,project_number,location_name,year_range,from,to,from_lat_long,to_lat_long,from_blockgroup,to_blockgroup
2117,[170 -04] 37898,On W Gunnison St From N Nagle Ave To N Mason Ave,2017-2021,W Gunnison St And N Nagle Ave,W Gunnison St And N Mason Ave,"[41.9684117, -87.7880289]","[41.9685548, -87.7771074]","[41.9684117, -87.7880289]",170311104002
2172,[170 -04] 37898,7612-7760 W Touhy Ave,2017-2021,7612 W Touhy Ave,7760 W Touhy Ave,"[42.011703, -87.816989]","[42.011420358939176, -87.81995877508338]",170310901003,"[42.011420358939176, -87.81995877508338]"
2198,[170 -04] 38342,On N Page Ave From W Irving Park Rd To W Addison St,2017-2021,N Page Ave And W Irving Park Rd,N Page Ave And W Addison St,"[41.95226, -87.82811]","[41.945001, -87.8279076]","[41.95226, -87.82811]",170311705004
2236,[170 -04] 38342,On N Damen Ave From W Howard St To W Jarvis Ave,2017-2021,N Damen Ave And W Howard St,N Damen Ave And W Jarvis Ave,"[42.019473, -87.68047]","[42.0151252, -87.6805309]","[42.019473, -87.68047]",170310102011
2247,[170 -04] 38342,On N Odell Ave From W Byron St To W Belmont Ave,2017-2021,N Odell Ave And W Byron St,N Odell Ave And W Belmont Ave,"[41.9506502, -87.8108634]","[41.93799, -87.810367]",170311704001,"[41.93799, -87.810367]"
2253,[170 -04] 38342,On S Archer Ave From S Senour Ave To S Halsted St,2017-2021,S Archer Ave And S Senour Ave,S Archer Ave And S Halsted St,"[41.8452769, -87.6506561]","[41.8472125, -87.6465235]",170318402001,170318402001
2259,[170 -04] 38342,On N Pioneer Ave From W Berteau Ave To W Irving Park Rd,2017-2021,N Pioneer Ave And W Berteau Ave,N Pioneer Ave And W Irving Park Rd,"[41.9558489, -87.8318321]","[41.9521744, -87.8316532]","[41.9558489, -87.8318321]","[41.9521744, -87.8316532]"
2260,[170 -04] 38342,On N Panama Ave From W Irving Park Rd To W Addison St,2017-2021,N Panama Ave And W Irving Park Rd,N Panama Ave And W Addison St,"[41.9522292, -87.8293724]","[41.944965, -87.82905]","[41.9522292, -87.8293724]",170311705004
2277,[170 -04] 38342,On N Osceola Ave From W Irving Park Rd To W Forest Preserve Ave,2017-2021,N Osceola Ave And W Irving Park Rd,N Osceola Ave And W Forest Preserve Ave,"[41.952637, -87.813402]","[41.951045, -87.812975]","[41.952637, -87.813402]",170311704004
2294,[170 -04] 38342,On N Lynch Ave From N Laramie Ave To N Elston Ave,2017-2021,N Lynch Ave And N Laramie Ave,N Lynch Ave And N Elston Ave,"[42.3379184512919, -87.8989879146869]","[41.981074, -87.7612222]","[42.3379184512919, -87.8989879146869]",170311101001
