,location_name,from,to
2222,On S Clyde Ave From E 99th St To E 100th St,S Clyde Ave And E 99th St,S Clyde Ave And E 100th St
2223,On N Ottawa Ave From W Cornelia Ave To W School St,N Ottawa Ave And W Cornelia Ave,N Ottawa Ave And W School St
2224,On S Paulina St From W Harrison St To W Polk St,S Paulina St And W Harrison St,S Paulina St And W Polk St
2225,On N Opal Ave From W Addison St To W School St,N Opal Ave And W Addison St,N Opal Ave And W School St
2226,On E 84th Pl From S Stony Island Ave To S Cregier Ave,E 84th Pl And S Stony Island Ave,E 84th Pl And S Cregier Ave
2227,On E 86th St From S Dante Ave To S Blackstone Ave,E 86th St And S Dante Ave,E 86th St And S Blackstone Ave
2228,On E 89th St From S State St To S Indiana Ave,E 89th St And S State St,E 89th St And S Indiana Ave
2229,On E 93rd St From S Harper Ave To S Stony Island Ave,E 93rd St And S Harper Ave,E 93rd St And S Stony Island Ave
2230,On N Ashland Ave From W Wellington Ave To W Diversey Pkwy,N Ashland Ave And W Wellington Ave,N Ashland Ave And W Diversey Pkwy
2231,3214-3400 N Pioneer Ave,3214 N Pioneer Ave,3400 N Pioneer Ave
2232,On N Austin Ave From W Peterson Ave To N Milwaukee Ave,N Austin Ave And W Peterson Ave,N Austin Ave And N Milwaukee Ave
2233,On N Osceola Ave From W Forest Preserve Ave To W Wellington Ave,N Osceola Ave And W Forest Preserve Ave,N Osceola Ave And W Wellington Ave
2234,On N Central Ave From N Leonard Ave To N Manton Ave,N Central Ave And N Leonard Ave,N Central Ave And N Manton Ave
2235,On N Central Ave From W Catalpa Ave To N Lovejoy Ave,N Central Ave And W Catalpa Ave,N Central Ave And N Lovejoy Ave
2236,On N Damen Ave From W Howard St To W Jarvis Ave,N Damen Ave And W Howard St,N Damen Ave And W Jarvis Ave
2237,On N Elizabeth St From W Erie St To W Grand Ave,N Elizabeth St And W Erie St,N Elizabeth St And W Grand Ave
2238,On N Harlem Ave From W Peterson Ave To W Talcott Ave,N Harlem Ave And W Peterson Ave,N Harlem Ave And W Talcott Ave
2239,On N Central Ave From N Elston Ave To W Foster Ave,N Central Ave And N Elston Ave,N Central Ave And W Foster Ave
2240,On N Luna Ave From W Catalpa Ave To W Balmoral Ave,N Luna Ave And W Catalpa Ave,N Luna Ave And W Balmoral Ave
2241,On N Marmora Ave From W Ardmore Ave To N Milwaukee Ave,N Marmora Ave And W Ardmore Ave,N Marmora Ave And N Milwaukee Ave
2242,On N Nagle Ave From N Avondale Ave To W Bryn Mawr Ave,N Nagle Ave And N Avondale Ave,N Nagle Ave And W Bryn Mawr Ave
2243,On N Navarre Ave From N Nashotah Ave To N Napoleon Ave,N Navarre Ave And N Nashotah Ave,N Navarre Ave And N Napoleon Ave
2244,On N Newland Ave From W Hayes Ave To W Imlay St,N Newland Ave And W Hayes Ave,N Newland Ave And W Imlay St
2245,On N Oakley Blvd From W Kinzie St To W Adams St,N Oakley Blvd And W Kinzie St,N Oakley Blvd And W Adams St
2246,On N Octavia Ave From W Byron St To W Cornelia Ave,N Octavia Ave And W Byron St,N Octavia Ave And W Cornelia Ave
2247,On N Odell Ave From W Byron St To W Belmont Ave,N Odell Ave And W Byron St,N Odell Ave And W Belmont Ave
2248,On N Olcott Ave From W Forest Preserve Ave To W Grace St,N Olcott Ave And W Forest Preserve Ave,N Olcott Ave And W Grace St
2249,On N Olcott Ave From W Palatine Ave To W Myrtle Ave,N Olcott Ave And W Palatine Ave,N Olcott Ave And W Myrtle Ave
2250,On N Oleander Ave From W Addison St To W Wellington Ave,N Oleander Ave And W Addison St,N Oleander Ave And W Wellington Ave
2251,On N Hoyne Ave From W Fulton St To W Maypole Ave,N Hoyne Ave And W Fulton St,N Hoyne Ave And W Maypole Ave
2252,On S Ashland Ave From W 79th St To W 83rd St,S Ashland Ave And W 79th St,S Ashland Ave And W 83rd St
2253,On S Archer Ave From S Senour Ave To S Halsted St,S Archer Ave And S Senour Ave,S Archer Ave And S Halsted St
2254,On S Albany Ave From W Cermak Rd To W 26th St,S Albany Ave And W Cermak Rd,S Albany Ave And W 26th St
2255,On N Winthrop Ave From W Lawrence Ave To N Kenmore Ave,N Winthrop Ave And W Lawrence Ave,N Winthrop Ave And N Kenmore Ave
2256,On N Ozark Ave From W Addison St To W Cornelia Ave,N Ozark Ave And W Addison St,N Ozark Ave And W Cornelia Ave
2257,On N Rutherford Ave From W Foster Ave To W Carmen Ave,N Rutherford Ave And W Foster Ave,N Rutherford Ave And W Carmen Ave
2258,On N Racine Ave From W Grand Ave To W Kinzie St,N Racine Ave And W Grand Ave,N Racine Ave And W Kinzie St
2259,On N Pioneer Ave From W Berteau Ave To W Irving Park Rd,N Pioneer Ave And W Berteau Ave,N Pioneer Ave And W Irving Park Rd
2260,On N Panama Ave From W Irving Park Rd To W Addison St,N Panama Ave And W Irving Park Rd,N Panama Ave And W Addison St
2261,On N Western Ave From W Madison St To W Van Buren St,N Western Ave And W Madison St,N Western Ave And W Van Buren St
2262,On S Blackstone Ave From E 83rd St To E 86th St,S Blackstone Ave And E 83rd St,S Blackstone Ave And E 86th St
2263,On S Michigan Ave From E 95th St To E 96th St,S Michigan Ave And E 95th St,S Michigan Ave And E 96th St
2264,On S Chappel Ave From E 97th Pl To E 98th Pl,S Chappel Ave And E 97th Pl,S Chappel Ave And E 98th Pl
2265,On S Constance Ave From E 84th St To E 86th St,S Constance Ave And E 84th St,S Constance Ave And E 86th St
2266,On S Dante Ave From E 90th St To E 91st St,S Dante Ave And E 90th St,S Dante Ave And E 91st St
2267,On S Dr Martin Luther King Jr Dr From E 89th St To E 91st Pl,S Dr Martin Luther King Jr Dr And E 89th St,S Dr Martin Luther King Jr Dr And E 91st Pl
2268,On S Ellis Ave From E 65th St To E 67th St,S Ellis Ave And E 65th St,S Ellis Ave And E 67th St
2269,On S Hamlin Ave From W 16th St To W 26th St,S Hamlin Ave And W 16th St,S Hamlin Ave And W 26th St
2272,On S Lawndale Ave From W 18th St To W 19th St,S Lawndale Ave And W 18th St,S Lawndale Ave And W 19th St
2273,On S Lawndale Ave From W Cermak Rd To W 26th St,S Lawndale Ave And W Cermak Rd,S Lawndale Ave And W 26th St
2275,On N Overhill Ave From W Addison St To W Belmont Ave,N Overhill Ave And W Addison St,N Overhill Ave And W Belmont Ave
2276,On S Central Park Ave From W Cermak Rd To W 28th St,S Central Park Ave And W Cermak Rd,S Central Park Ave And W 28th St
2277,On N Osceola Ave From W Irving Park Rd To W Forest Preserve Ave,N Osceola Ave And W Irving Park Rd,N Osceola Ave And W Forest Preserve Ave
2278,On N Hoyne Ave From W Washington Blvd To W Madison St,N Hoyne Ave And W Washington Blvd,N Hoyne Ave And W Madison St
2279,On N Oliphant Ave From W Pratt Ave To N Avondale Ave,N Oliphant Ave And W Pratt Ave,N Oliphant Ave And N Avondale Ave
2280,On S Normal Ave From W 89th St To W 90th St,S Normal Ave And W 89th St,S Normal Ave And W 90th St
2281,On E 73rd St From S Eberhart Ave To S Rhodes Ave,E 73rd St And S Eberhart Ave,E 73rd St And S Rhodes Ave
2282,On E 85th Pl From S Stony Island Ave To S Cregier Ave,E 85th Pl And S Stony Island Ave,E 85th Pl And S Cregier Ave
2283,On E 89th St From S Kenwood Ave To S Dorchester Ave,E 89th St And S Kenwood Ave,E 89th St And S Dorchester Ave
2284,On E 92nd Pl From S Stony Island Ave To S Cregier Ave,E 92nd Pl And S Stony Island Ave,E 92nd Pl And S Cregier Ave
2285,On N Ashland Ave From W Fulton St To W Lake St,N Ashland Ave And W Fulton St,N Ashland Ave And W Lake St
2286,On N Austin Ave From W Bryn Mawr Ave To N Northwest Hwy,N Austin Ave And W Bryn Mawr Ave,N Austin Ave And N Northwest Hwy
2287,On N Central Ave From N Elston Ave To W Catalpa Ave,N Central Ave And N Elston Ave,N Central Ave And W Catalpa Ave
2288,On N Central Ave From N Indian Rd To W Ardmore Ave,N Central Ave And N Indian Rd,N Central Ave And W Ardmore Ave
2289,On N Central Ave From N Northwest Hwy To N Kennedy Expy Ob,N Central Ave And N Northwest Hwy,N Central Ave And N Kennedy Expy Ob
2290,On N Claremont Ave From W Chase Ave To W Touhy Ave,N Claremont Ave And W Chase Ave,N Claremont Ave And W Touhy Ave
2291,On N Oriole Ave From W Waveland Ave To W Belmont Ave,N Oriole Ave And W Waveland Ave,N Oriole Ave And W Belmont Ave
2292,On N Elizabeth St From W Carroll Ave To W Randolph St,N Elizabeth St And W Carroll Ave,N Elizabeth St And W Randolph St
2293,On N Hiawatha Ave From N Loleta Ave To N Central Ave,N Hiawatha Ave And N Loleta Ave,N Hiawatha Ave And N Central Ave
2294,On N Lynch Ave From N Laramie Ave To N Elston Ave,N Lynch Ave And N Laramie Ave,N Lynch Ave And N Elston Ave
2295,On N Mason Ave From W Seminole St To W Bryn Mawr Ave,N Mason Ave And W Seminole St,N Mason Ave And W Bryn Mawr Ave
2296,On N Nashville Ave From W Gregory St To W Balmoral Ave,N Nashville Ave And W Gregory St,N Nashville Ave And W Balmoral Ave
2297,On N Neenah Ave From W Gregory St To W Balmoral Ave,N Neenah Ave And W Gregory St,N Neenah Ave And W Balmoral Ave
2298,On N Normandy Ave From W Devon Ave To W Palatine Ave,N Normandy Ave And W Devon Ave,N Normandy Ave And W Palatine Ave
2299,On N Oconto Ave From W Jarvis Ave To W Chase Ave,N Oconto Ave And W Jarvis Ave,N Oconto Ave And W Chase Ave
2300,On N Octavia Ave From W Roscoe St To W Belmont Ave,N Octavia Ave And W Roscoe St,N Octavia Ave And W Belmont Ave
2301,On N Oketo Ave From W Addison St To W School St,N Oketo Ave And W Addison St,N Oketo Ave And W School St
2302,On N Olcott Ave From W Ibsen St To W Pratt Ave,N Olcott Ave And W Ibsen St,N Olcott Ave And W Pratt Ave
2303,On N Olcott Ave From W Waveland Ave To W Cornelia Ave,N Olcott Ave And W Waveland Ave,N Olcott Ave And W Cornelia Ave
2304,On N Elizabeth St From W Grand Ave To W Kinzie St,N Elizabeth St And W Grand Ave,N Elizabeth St And W Kinzie St
2305,On S Prairie Ave From E 79th St To E 80th St,S Prairie Ave And E 79th St,S Prairie Ave And E 80th St
2306,On S Prairie Ave From E 93rd St To E 95th St,S Prairie Ave And E 93rd St,S Prairie Ave And E 95th St
2307,On W Forest Preserve Ave From N Pontiac Ave To N Panama Ave,W Forest Preserve Ave And N Pontiac Ave,W Forest Preserve Ave And N Panama Ave
2308,On W Grenshaw St From S Western Ave To S Oakley Blvd,W Grenshaw St And S Western Ave,W Grenshaw St And S Oakley Blvd
2309,On W Loyola Ave From N Winchester Ave To N Ridge Blvd,W Loyola Ave And N Winchester Ave,W Loyola Ave And N Ridge Blvd
2310,On W Morse Ave From N Western Ave To N Bell Ave,W Morse Ave And N Western Ave,W Morse Ave And N Bell Ave
2311,On W North Ave From N Harlem Ave To N Sayre Ave,W North Ave And N Harlem Ave,W North Ave And N Sayre Ave
2312,On W Ogden Ave From S Albany Ave To S Farrar Dr,W Ogden Ave And S Albany Ave,W Ogden Ave And S Farrar Dr
2313,On W Ogden Ave From S Drake Ave To S Trumbull Ave,W Ogden Ave And S Drake Ave,W Ogden Ave And S Trumbull Ave
2314,On W Ogden Ave From S Homan Ave To S Albany Ave,W Ogden Ave And S Homan Ave,W Ogden Ave And S Albany Ave
2315,On W Ogden Ave From S Millard Ave To S Albany Ave,W Ogden Ave And S Millard Ave,W Ogden Ave And S Albany Ave
2316,On W Ogden Ave From S Springfield Ave To S Ridgeway Ave,W Ogden Ave And S Springfield Ave,W Ogden Ave And S Ridgeway Ave
2317,On W Pershing Rd From S Damen Ave To S Paulina St,W Pershing Rd And S Damen Ave,W Pershing Rd And S Paulina St
2318,On W Forest Preserve Ave From N Olcott Ave To W Irving Park Rd,W Forest Preserve Ave And N Olcott Ave,W Forest Preserve Ave And W Irving Park Rd
2319,On W Roosevelt Rd From S Albany Ave To S Whipple St,W Roosevelt Rd And S Albany Ave,W Roosevelt Rd And S Whipple St
2320,On W Schreiber Ave From N Oak Park Ave To N Natoma Ave,W Schreiber Ave And N Oak Park Ave,W Schreiber Ave And N Natoma Ave
2321,On W Taylor St From S Marshfield Ave To S Loomis St,W Taylor St And S Marshfield Ave,W Taylor St And S Loomis St
2322,On W Warren Blvd From N Kedzie Ave To N Sacramento Blvd,W Warren Blvd And N Kedzie Ave,W Warren Blvd And N Sacramento Blvd
2323,On W Washington Blvd From N Talman Ave To N Leavitt St,W Washington Blvd And N Talman Ave,W Washington Blvd And N Leavitt St
2324,830-888 E 88th St,830 E 88th St,888 E 88th St
2325,1200-1210 N Dearborn St,1200 N Dearborn St,1210 N Dearborn St
2326,855-881 N La Salle Dr,855 N La Salle Dr,881 N La Salle Dr
2327,3000-3140 N Octavia Ave,3000 N Octavia Ave,3140 N Octavia Ave
2328,7216-7300 N Odell Ave,7216 N Odell Ave,7300 N Odell Ave
2329,3912-3970 N Olcott Ave,3912 N Olcott Ave,3970 N Olcott Ave
2330,3914-3990 N Oleander Ave,3914 N Oleander Ave,3990 N Oleander Ave
2331,On W Roosevelt Rd From S Pulaski Rd To S Independence Blvd,W Roosevelt Rd And S Pulaski Rd,W Roosevelt Rd And S Independence Blvd
2332,On W Fargo Ave From N Rockwell St To N Western Ave,W Fargo Ave And N Rockwell St,W Fargo Ave And N Western Ave
2333,3900-3714 N Orleans St,3900 N Orleans St,3714 N Orleans St
2334,On W Cermak Rd From S Marshall Blvd To S Rockwell St,W Cermak Rd And S Marshall Blvd,W Cermak Rd And S Rockwell St
2335,On S Racine Ave From W Congress Pkwy To W Flournoy St,S Racine Ave And W Congress Pkwy,S Racine Ave And W Flournoy St
2336,On S Rhodes Ave From E 83rd St To E 84th St,S Rhodes Ave And E 83rd St,S Rhodes Ave And E 84th St
2337,On S Ridgeland Ave From E 90th St To E 91st St,S Ridgeland Ave And E 90th St,S Ridgeland Ave And E 91st St
2338,On S Ridgeway Ave From W 26th St To W 27th St,S Ridgeway Ave And W 26th St,S Ridgeway Ave And W 27th St
2339,On S Sawyer Ave From W 24th St To W 25th St,S Sawyer Ave And W 24th St,S Sawyer Ave And W 25th St
2340,On S Throop St From W Madison St To W Van Buren St,S Throop St And W Madison St,S Throop St And W Van Buren St
2341,On W Coyle Ave From N Rockwell St To N Western Ave,W Coyle Ave And N Rockwell St,W Coyle Ave And N Western Ave
2342,On S Western Ave From W Congress Pkwy To W Harrison St,S Western Ave And W Congress Pkwy,S Western Ave And W Harrison St
2343,On S Western Ave From W Madison St To W Van Buren St,S Western Ave And W Madison St,S Western Ave And W Van Buren St
2344,On S Yale Ave From W 80th St To W 81st St,S Yale Ave And W 80th St,S Yale Ave And W 81st St
2345,On W 15th St From S Central Park Ave To S St Louis Ave,W 15th St And S Central Park Ave,W 15th St And S St Louis Ave
2346,On W 16th St From S Keeler Ave To S Pulaski Rd,W 16th St And S Keeler Ave,W 16th St And S Pulaski Rd
2347,On S Vincennes Ave From S Halsted St To S Summit Ave,S Vincennes Ave And S Halsted St,S Vincennes Ave And S Summit Ave
2348,On W 24th St From S Christiana Ave To S Kedzie Ave,W 24th St And S Christiana Ave,W 24th St And S Kedzie Ave
2349,On W 25th St From S Sacramento Ave To S California Ave,W 25th St And S Sacramento Ave,W 25th St And S California Ave
2350,On W 26th St From S Keeler Ave To S Hamlin Ave,W 26th St And S Keeler Ave,W 26th St And S Hamlin Ave
2351,On W 28th St From S Pulaski Rd To S Springfield Ave,W 28th St And S Pulaski Rd,W 28th St And S Springfield Ave
2352,On W 30th St From S Pulaski Rd To S Springfield Ave,W 30th St And S Pulaski Rd,W 30th St And S Springfield Ave
2353,On W 83rd St From S Emerald Ave To S Vincennes Ave,W 83rd St And S Emerald Ave,W 83rd St And S Vincennes Ave
2354,On W 83rd St From S State St To S Martin St Luther King Dr,W 83rd St And S State St,W 83rd St And S Martin St Luther King Dr
2355,On W 85th St From S Paulina St To S Ashland Ave,W 85th St And S Paulina St,W 85th St And S Ashland Ave
2356,On W 89th St From S Yale Ave To S Holland Rd,W 89th St And S Yale Ave,W 89th St And S Holland Rd
2357,On W 95th St From S Morgan St To S Halsted St,W 95th St And S Morgan St,W 95th St And S Halsted St
2358,On W Albion Ave From N Lakewood Ave To N Sheridan Rd,W Albion Ave And N Lakewood Ave,W Albion Ave And N Sheridan Rd
2359,On W 23rd St From S Christiana Ave To S Kedzie Ave,W 23rd St And S Christiana Ave,W 23rd St And S Kedzie Ave
2360,On W Ogden Ave From S Millard Ave To S Central Park Ave,W Ogden Ave And S Millard Ave,W Ogden Ave And S Central Park Ave
2361,On W Ogden Ave From S Kenton Ave To S Pulaski Rd,W Ogden Ave And S Kenton Ave,W Ogden Ave And S Pulaski Rd
2362,On W Ogden Ave From S Hamlin Ave To S Ridgeway Ave,W Ogden Ave And S Hamlin Ave,W Ogden Ave And S Ridgeway Ave
2363,On W Ogden Ave From S California Blvd To S Washtenaw Ave,W Ogden Ave And S California Blvd,W Ogden Ave And S Washtenaw Ave
2364,On W Forest Preserve Ave From N Panama Ave To N Pacific Ave,W Forest Preserve Ave And N Panama Ave,W Forest Preserve Ave And N Pacific Ave
2365,On W North Ave From N Hamlin Ave To N Kimball Ave,W North Ave And N Hamlin Ave,W North Ave And N Kimball Ave
2366,On W Morse Ave From N Hamilton Ave To N Seeley Ave,W Morse Ave And N Hamilton Ave,W Morse Ave And N Seeley Ave
2367,On W Ibsen St From N Oriole Ave To N Harlem Ave,W Ibsen St And N Oriole Ave,W Ibsen St And N Harlem Ave
2368,On W Foster Ave From N Normandy Ave To N Nashville Ave,W Foster Ave And N Normandy Ave,W Foster Ave And N Nashville Ave
2369,On W North Ave From N Nagle Ave To N Natoma Ave,W North Ave And N Nagle Ave,W North Ave And N Natoma Ave
2370,On W Patterson Ave From N Ozanam Ave To N Overhill Ave,W Patterson Ave And N Ozanam Ave,W Patterson Ave And N Overhill Ave
2371,3714-3808 N Oleander Ave,3714 N Oleander Ave,3808 N Oleander Ave
2372,On W Roosevelt Rd From S California Ave To S Washtenaw Ave,W Roosevelt Rd And S California Ave,W Roosevelt Rd And S Washtenaw Ave
2373,On W Roosevelt Rd From S St Louis Ave To S Spaulding Ave,W Roosevelt Rd And S St Louis Ave,W Roosevelt Rd And S Spaulding Ave
2374,On W Taylor St From S Leavitt St To S Hoyne Ave,W Taylor St And S Leavitt St,W Taylor St And S Hoyne Ave
2375,On W Taylor St From S Western Ave To S Oakley Blvd,W Taylor St And S Western Ave,W Taylor St And S Oakley Blvd
2376,On W Washington Blvd From N Lamon Ave To N Cicero Ave,W Washington Blvd And N Lamon Ave,W Washington Blvd And N Cicero Ave
2378,830-864 E 89th St,830 E 89th St,864 E 89th St
2379,7332-7340 N Greenview Ave,7332 N Greenview Ave,7340 N Greenview Ave
2380,5430-5500 N Natchez Ave,5430 N Natchez Ave,5500 N Natchez Ave
2381,3000-3140 N Odell Ave,3000 N Odell Ave,3140 N Odell Ave
2382,3200-3214 N Oketo Ave,3200 N Oketo Ave,3214 N Oketo Ave
2383,On W Farwell Ave From N Bell Ave To N Seeley Ave,W Farwell Ave And N Bell Ave,W Farwell Ave And N Seeley Ave
2384,On W Pershing Rd From S Wolcott Ave To S Ashland Ave,W Pershing Rd And S Wolcott Ave,W Pershing Rd And S Ashland Ave
2385,On W Erie St From N Western Ave To N Leavitt St,W Erie St And N Western Ave,W Erie St And N Leavitt St
2386,On W 23rd St From S Marshall Blvd To S Rockwell St,W 23rd St And S Marshall Blvd,W 23rd St And S Rockwell St
2387,On W Cermak Rd From S Karlov Ave To S Harding Ave,W Cermak Rd And S Karlov Ave,W Cermak Rd And S Harding Ave
2388,3210-3242 N Orange Ave,3210 N Orange Ave,3242 N Orange Ave
2389,On S Princeton Ave From W 99th St To W 100th Pl,S Princeton Ave And W 99th St,S Princeton Ave And W 100th Pl
2390,On S Racine Ave From W Madison St To W Van Buren St,S Racine Ave And W Madison St,S Racine Ave And W Van Buren St
2391,On S Rhodes Ave From E 86th St To E 87th St,S Rhodes Ave And E 86th St,S Rhodes Ave And E 87th St
2392,On S Ridgeway Ave From W 15th St To W Ogden Ave,S Ridgeway Ave And W 15th St,S Ridgeway Ave And W Ogden Ave
2393,On S Rockwell St From W 18th St To W 19th St,S Rockwell St And W 18th St,S Rockwell St And W 19th St
2394,On S Stony Island Ave From E 90th St To E 91st St,S Stony Island Ave And E 90th St,S Stony Island Ave And E 91st St
2395,On S Union Ave From W 72nd St To W 73rd St,S Union Ave And W 72nd St,S Union Ave And W 73rd St
2396,On S Wabash Ave From E 92nd St To E 93rd St,S Wabash Ave And E 92nd St,S Wabash Ave And E 93rd St
2397,On S Western Ave From W Harrison St To W Polk St,S Western Ave And W Harrison St,S Western Ave And W Polk St
2400,On W 14th St From S Keeler Ave To S Pulaski Rd,W 14th St And S Keeler Ave,W 14th St And S Pulaski Rd
2401,On W 21st St From S St Louis Ave To S Homan Ave,W 21st St And S St Louis Ave,W 21st St And S Homan Ave
2402,On W 25th St From S Christiana Ave To S Kedzie Ave,W 25th St And S Christiana Ave,W 25th St And S Kedzie Ave
2403,On W 26th St From S Francisco Ave To S Washtenaw Ave,W 26th St And S Francisco Ave,W 26th St And S Washtenaw Ave
2404,On W 26th St From S Lawndale Ave To S Christiana Ave,W 26th St And S Lawndale Ave,W 26th St And S Christiana Ave
2405,On W 30th St From S Lawndale Ave To S Millard Ave,W 30th St And S Lawndale Ave,W 30th St And S Millard Ave
2406,On W 31st St From S Lawndale Ave To S Homan Ave,W 31st St And S Lawndale Ave,W 31st St And S Homan Ave
2407,On W 83rd St From S Morgan St To S Green St,W 83rd St And S Morgan St,W 83rd St And S Green St
2408,On W 85th St From S Damen Ave To S Wood St,W 85th St And S Damen Ave,W 85th St And S Wood St
2409,On W 88th St From S Racine Ave To S Halsted St,W 88th St And S Racine Ave,W 88th St And S Halsted St
2410,On W 90th St From S Halsted St To S Lowe Ave,W 90th St And S Halsted St,W 90th St And S Lowe Ave
2411,On W 99th St From S Morgan St To S Halsted St,W 99th St And S Morgan St,W 99th St And S Halsted St
2413,On W 15th St From S Rockwell St To S Western Ave,W 15th St And S Rockwell St,W 15th St And S Western Ave
2414,4000-3914 N Orleans St,4000 N Orleans St,3914 N Orleans St
2415,2200-2348 W Van Buren St,2200 W Van Buren St,2348 W Van Buren St
2416,3912-3958 N Ottawa Ave,3912 N Ottawa Ave,3958 N Ottawa Ave
2417,3216-3460 N Page Ave,3216 N Page Ave,3460 N Page Ave
2418,3500-3546 N Panama Ave,3500 N Panama Ave,3546 N Panama Ave
2420,3200-3332 N Pittsburgh Ave,3200 N Pittsburgh Ave,3332 N Pittsburgh Ave
2421,10-34 N Western Ave,10 N Western Ave,34 N Western Ave
2422,2102-2128 S Albany Ave,2102 S Albany Ave,2128 S Albany Ave
2424,8900-8910 S Dorchester Ave,8900 S Dorchester Ave,8910 S Dorchester Ave
2425,8100-8112 S Harvard Ave,8100 S Harvard Ave,8112 S Harvard Ave
2426,2400-3140 S Kedzie Ave,2400 S Kedzie Ave,3140 S Kedzie Ave
2427,1862-1900 S Millard Ave,1862 S Millard Ave,1900 S Millard Ave
2428,4700-5440 S Morgan St,4700 S Morgan St,5440 S Morgan St
2429,7324-7412 S St Louis Ave,7324 S St Louis Ave,7412 S St Louis Ave
2430,2932-2940 W 59th St,2932 W 59th St,2940 W 59th St
2431,2400-2559 W 79th St,2400 W 79th St,2559 W 79th St
2432,6702-6846 W Ardmore Ave,6702 W Ardmore Ave,6846 W Ardmore Ave
2433,200-212 W Couch Pl,200 W Couch Pl,212 W Couch Pl
2434,7632-7660 W Forest Preserve Ave,7632 W Forest Preserve Ave,7660 W Forest Preserve Ave
2435,1806-2000 W Irving Park Rd,1806 W Irving Park Rd,2000 W Irving Park Rd
2436,2400-2552 W Ogden Ave,2400 W Ogden Ave,2552 W Ogden Ave
2437,3214-3460 N Osage Ave,3214 N Osage Ave,3460 N Osage Ave
2438,2130-2300 W Roosevelt Rd,2130 W Roosevelt Rd,2300 W Roosevelt Rd
2439,3200-3240 N Ottawa Ave,3200 N Ottawa Ave,3240 N Ottawa Ave
2440,1600-1950 W Roosevelt Rd,1600 W Roosevelt Rd,1950 W Roosevelt Rd
2441,3210-3242 N Ozanam Ave,3210 N Ozanam Ave,3242 N Ozanam Ave
2442,3214-3300 N Panama Ave,3214 N Panama Ave,3300 N Panama Ave
2443,3200-3444 N Paris Ave,3200 N Paris Ave,3444 N Paris Ave
2444,3600-3940 N Pioneer Ave,3600 N Pioneer Ave,3940 N Pioneer Ave
2445,3220-3346 N Plainfield Ave,3220 N Plainfield Ave,3346 N Plainfield Ave
2446,134-140 N Western Ave,134 N Western Ave,140 N Western Ave
2447,2723-3100 S Archer Ave,2723 S Archer Ave,3100 S Archer Ave
2448,8546-8700 S Cottage Grove Ave,8546 S Cottage Grove Ave,8700 S Cottage Grove Ave
2449,9176-9232 S Dr Martin Luther King Jr Dr,9176 S Dr Martin Luther King Jr Dr,9232 S Dr Martin Luther King Jr Dr
2450,2316-2700 W Roosevelt Rd,2316 W Roosevelt Rd,2700 W Roosevelt Rd
2451,9400-9440 S Indiana Ave,9400 S Indiana Ave,9440 S Indiana Ave
2452,2100-2130 S Millard Ave,2100 S Millard Ave,2130 S Millard Ave
2453,2100-2324 S Ridgeway Ave,2100 S Ridgeway Ave,2324 S Ridgeway Ave
2454,2600-2733 W 25th St,2600 W 25th St,2733 W 25th St
2455,2948-3000 W 59th St,2948 W 59th St,3000 W 59th St
2456,402-500 W 95th St,402 W 95th St,500 W 95th St
2457,7852-7892 W Cahill Ter,7852 W Cahill Ter,7892 W Cahill Ter
2458,7400-7749 W Forest Preserve Ave,7400 W Forest Preserve Ave,7749 W Forest Preserve Ave
2459,7800-7860 W Forest Preserve Ave,7800 W Forest Preserve Ave,7860 W Forest Preserve Ave
2460,1026-1100 W Leland Ave,1026 W Leland Ave,1100 W Leland Ave
2461,3200-3236 S Lawndale Ave,3200 S Lawndale Ave,3236 S Lawndale Ave
2462,2610-2800 W Wilcox St,2610 W Wilcox St,2800 W Wilcox St
2463,On N Aberdeen St From W Carroll Ave To W Kinzie St,N Aberdeen St And W Carroll Ave,N Aberdeen St And W Kinzie St
2464,On N Carpenter St From W Randolph St To W Carroll Ave,N Carpenter St And W Randolph St,N Carpenter St And W Carroll Ave
2466,On N May St From W Randolph St To W Carroll Ave,N May St And W Randolph St,N May St And W Carroll Ave
2467,On N Racine Ave From W Madison St To W Carroll Ave,N Racine Ave And W Madison St,N Racine Ave And W Carroll Ave
2470,On N Green St From W Randolph St To W Kinzie St,N Green St And W Randolph St,N Green St And W Kinzie St
2472,On W Lake St From N Racine Ave To N Morgan St,W Lake St And N Racine Ave,W Lake St And N Morgan St
2735,On E 72nd St From S Kimbark Ave To S Dorchester Ave,E 72nd St And S Kimbark Ave,E 72nd St And S Dorchester Ave
2736,On N Wayne Ave From W Granville Ave To W Devon Ave,N Wayne Ave And W Granville Ave,N Wayne Ave And W Devon Ave
2737,On N Western Ave From W Maypole Ave To W Lake St,N Western Ave And W Maypole Ave,N Western Ave And W Lake St
2738,On N Winchester Ave From N Olcott Ave To W Sunnyside Ave,N Winchester Ave And N Olcott Ave,N Winchester Ave And W Sunnyside Ave
2739,On N Wolcott Ave From W Kinzie St To W Warren Blvd,N Wolcott Ave And W Kinzie St,N Wolcott Ave And W Warren Blvd
2740,On S Archer Ave From S Corbett St To S Halsted St,S Archer Ave And S Corbett St,S Archer Ave And S Halsted St
2742,On S Carpenter St From W 99th St To W 100th St,S Carpenter St And W 99th St,S Carpenter St And W 100th St
2745,On S Cottage Grove Ave From E 86th St To E 87th St,S Cottage Grove Ave And E 86th St,S Cottage Grove Ave And E 87th St
