,location_name,from,to,from_lat_long,to_lat_long
205,On S Natoma Ave From W 57th St To W 56th St,S Natoma Ave And W 57th St,S Natoma Ave And W 56th St,"[41.788582, -87.787736]","[41.790433, -87.787807]"
206,On W 56th St From S Nottingham Ave To S New England Ave,W 56th St And S Nottingham Ave,W 56th St And S New England Ave,"[41.7902499, -87.7989121]","[41.790314, -87.793908]"
207,On W 56th St From S Natoma Ave To S Neva Ave,W 56th St And S Natoma Ave,W 56th St And S Neva Ave,"[41.790433, -87.787807]","[41.7902299, -87.8001942]"
208,On W 57th St From S Nashville Ave To S Natoma Ave,W 57th St And S Nashville Ave,W 57th St And S Natoma Ave,"[41.788607, -87.786485]","[41.788582, -87.787736]"
209,On N Narragansett Ave From W Roscoe St To W Addison St,N Narragansett Ave And W Roscoe St,N Narragansett Ave And W Addison St,"[41.941997, -87.786173]","[41.94568, -87.786294]"
211,On W Cornelia Ave From N Nagle Ave To N Narragansett Ave,W Cornelia Ave And N Nagle Ave,W Cornelia Ave And N Narragansett Ave,"[41.943829, -87.787469]","[41.943842, -87.786262]"
212,On N Octavia Ave From W Jarvis Ave To W Birchwood Ave,N Octavia Ave And W Jarvis Ave,N Octavia Ave And W Birchwood Ave,"[42.0152903, -87.8090486]","[42.017087, -87.809024]"
213,On N Overhill Ave From W Sherwin Ave To W Birchwood Ave,N Overhill Ave And W Sherwin Ave,N Overhill Ave And W Birchwood Ave,"[42.0141385, -87.8188146]","[42.0168859, -87.8187884]"
214,On W Jarvis Ave From N Ottawa Ave To N Overhill Ave,W Jarvis Ave And N Ottawa Ave,W Jarvis Ave And N Overhill Ave,"[42.0150712, -87.8175616]","[42.0150532, -87.8187831]"
215,On N Ottawa Ave From W Jarvis Ave To W Chase Ave,N Ottawa Ave And W Jarvis Ave,N Ottawa Ave And W Chase Ave,"[42.0150712, -87.8175616]","[42.013273, -87.817587]"
216,On W Jarvis Ave From N Oriole Ave To N Ottawa Ave,W Jarvis Ave And N Oriole Ave,W Jarvis Ave And N Ottawa Ave,"[42.015095, -87.816376]","[42.0150712, -87.8175616]"
218,On S Karlov Ave From W 62nd St To W 61st St,S Karlov Ave And W 62nd St,S Karlov Ave And W 61st St,"[41.780424, -87.725241]","[41.7822397, -87.7252404]"
219,On W 61st St From S Karlov Ave To S Komensky Ave,W 61st St And S Karlov Ave,W 61st St And S Komensky Ave,"[41.7822397, -87.7252404]","[41.782269, -87.724089]"
220,On W 62nd St From S Keeler Ave To S Kildare Ave,W 62nd St And S Keeler Ave,W 62nd St And S Kildare Ave,"[41.780395, -87.727697]","[41.78037, -87.73013]"
221,On W 62nd St From S Komensky Ave To S Karlov Ave,W 62nd St And S Komensky Ave,W 62nd St And S Karlov Ave,"[41.780445, -87.724026]","[41.780424, -87.725241]"
222,On W 61st St From S Karlov Ave To S Kedvale Ave,W 61st St And S Karlov Ave,W 61st St And S Kedvale Ave,"[41.7822397, -87.7252404]","[41.7822317, -87.7265278]"
223,On W 62nd St From S Karlov Ave To S Keeler Ave,W 62nd St And S Karlov Ave,W 62nd St And S Keeler Ave,"[41.780424, -87.725241]","[41.780395, -87.727697]"
224,On W 62nd St From S Kildare Ave To S Kostner Ave,W 62nd St And S Kildare Ave,W 62nd St And S Kostner Ave,"[41.78037, -87.73013]","[41.780346, -87.732586]"
225,On W 62nd St From S Pulaski Rd To S Komensky Ave,W 62nd St And S Pulaski Rd,W 62nd St And S Komensky Ave,"[41.7804754, -87.7228809]","[41.780445, -87.724026]"
226,On W 53rd St From S Hamlin Ave To S Millard Ave,W 53rd St And S Hamlin Ave,W 53rd St And S Millard Ave,"[41.796985, -87.718349]","[41.797037, -87.714698]"
