,project_number,location_name,year_range,from,to
4179,[170 -04] 37896,On W Ardmore Ave From N Lake Shore Dr To N Broadway,2014-2018,W Ardmore Ave And N Lake Shore Dr,W Ardmore Ave And N Broadway
4200,[170 -04] 37896,On W Gunnison St From N Laramie Ave To N Leamington Ave,2014-2018,W Gunnison St And N Laramie Ave,W Gunnison St And N Leamington Ave
4201,[170 -04] 37896,On W Grand Ave From W Chicago Ave To N Spaulding Ave,2014-2018,W Grand Ave And W Chicago Ave,W Grand Ave And N Spaulding Ave
4203,[170 -04] 37896,On W Grand Ave From N Monticello Ave To W Chicago Ave,2014-2018,W Grand Ave And N Monticello Ave,W Grand Ave And W Chicago Ave
4221,[170 -04] 37896,On W Wilson Ave From N Rockwell St To N North Branch Chicago River,2014-2018,W Wilson Ave And N Rockwell St,W Wilson Ave And N North Branch Chicago River
4226,[170 -04] 37896,On W Touhy Ave From N Ottawa Ave To N Oriole Ave,2014-2018,W Touhy Ave And N Ottawa Ave,W Touhy Ave And N Oriole Ave
4229,[170 -04] 37896,On W Germania Pl From N La Salle Dr To N Clark St,2014-2018,W Germania Pl And N La Salle Dr,W Germania Pl And N Clark St
4232,[170 -04] 37896,On S Michigan Ave From S 200  To S 221,2014-2018,S Michigan Ave And S 200 ,221 S Michigan Ave
4236,[170 -04] 37896,On S Wells St From W 36th St To W 37th St,2014-2018,S Wells St And W 36th St,S Wells St And W 37th St
4248,[170 -04] 37896,On W Edmunds St From W Goodman St To N Milwaukee Ave,2014-2018,W Edmunds St And W Goodman St,W Edmunds St And N Milwaukee Ave
4267,[170 -04] 37896,On W 111th St From S Bell Ave To W 1800,2014-2018,W 111th St And S Bell Ave,1800 W 111th St
