,Project_#,Project_Location
278,[170 -04] 37898,On W Wellington Ave From N Leclaire Ave To N Lamon Ave
279,[170 -04] 37898,4836-4900 N Albany Ave
280,[170 -04] 37898,4645-4701 N Broadway
281,[170 -04] 37898,22-32 N Carpenter St
282,[170 -04] 37898,2800-2910 N Dawson Ave
283,[170 -04] 37898,300-340 N Leavitt St
284,[170 -04] 37898,6080-6300 N Lincoln Ave
285,[170 -04] 37898,2-10 N Morgan St
286,[170 -04] 37898,4900-4915 N New England Ave
287,[170 -04] 37898,221-0 W Ohio St
288,[170 -04] 37898,7612-7760 W Touhy Ave
